"year","male15_29_low","male15_29_high","female15_29_low","female15_29_high"
2001,57132,59894,55429,58670
2002,69141,71744,63349,66082
2003,81727,85002,71530,74654
2004,94410,97924,79455,82824
2005,104421,108144,85636,89155
2006,115291,119557,89138,92619
2007,125853,130688,94380,98117
2008,136954,142278,98304,102398
2009,147479,154319,102299,106692
2010,154241,161422,104891,109725
2011,155908,162620,104300,108538
2012,153318,158203,104580,108186
2013,151408,155794,103075,106446
2014,147983,152777,99974,103416
2015,146750,152689,97940,101449
2016,149116,155068,97245,100961
2017,153871,160190,97746,101336
2018,154890,162095,97538,101213
2019,152712,160459,94491,98105
2020,145168,152699,89250,92869
2021,133624,142632,81254,87240
