"year","cumunique_female","annunique_female","cumunique_male","annunique_male","cumunique_all","annunique_all","migrationrate","migrationrate_lower","migrationrate_upper","propstay","propstay_lower","propstay_upper","deathrate","deathrate_lower","deathrate_upper"
1980,0,0,1,1,1,1,0.00131857617421201,0,0.00263715234842402,0.9923077,0.9846154,1,0,0,0
1981,0,0,1,1,1,1,0.00131857617421201,0,0.00263715234842402,0.9095993,0.8191986,1,0.61731884057971,0.586452898550725,0.648184782608696
1982,0,0,1,1,1,1,0.00147165677353577,0,0.00294331354707153,0.9923077,0.9846154,1,0,0,0
1983,0,0,0.962438081174757,0.953047601468447,0.962438081174757,0.953047601468447,0.00167081129481352,0,0.00334162258962705,0.9923077,0.9846154,1,1.01394297984035,0.973224843141227,1.05386201267925
1984,0.728768175211071,0.728768175211071,0.910811387682468,0.908324552735826,0.904731058050522,0.902064374911694,0.00142435404300312,0,0.00284870808600623,0.989982564257028,0.979965128514056,1,1.11313987123022,1.05697923002877,1.16937000414152
1985,0.824783934943032,0.841286643646963,0.929685462752576,0.934897390081581,0.922521829137747,0.927321436590258,0.00117039858832698,0,0.00234079717665396,0.98996965335689,0.979939306713781,1,0.182258763016732,0.174523243898178,0.189873221125176
1986,0.866750481246424,0.920553745737951,0.917859956681776,0.901596651286812,0.909537010249641,0.891752147772564,0.00116551640338864,0,0.00233103280677727,0.989658516720956,0.979317033441911,1,0.0820041332918812,0.07852071398843,0.0854336744354093
1987,0.895853694223898,0.959546791477881,0.84932828645573,0.719783440081552,0.838445053328586,0.702991217260318,0.00124613890599983,0,0.00249227781199967,0.989204195309568,0.978408390619137,1,0.065884923365831,0.062971313727845,0.0687646820419872
1988,0.913905335774672,0.992805207271876,0.843398374651296,0.820628748006046,0.834757996218791,0.820504620328998,0.00121890693651532,0,0.00243781387303065,0.989096437285122,0.978192874570243,1,0.0569877787946822,0.0543746466633914,0.059579857979698
1989,0.924873254322662,0.984448993708331,0.84666449518604,0.862750955830381,0.839643305685211,0.86382654437573,0.00146722597990178,0,0.00293445195980356,0.9888248196515,0.977649639303001,1,0.0804293705777281,0.0765990731298121,0.0842433144075113
1990,0.934208785638961,0.97898769008833,0.851532367514746,0.885422319612319,0.84600501817751,0.889255714424706,0.00176880666063746,0,0.00353761332127493,0.988615979715004,0.977231959430008,1,0.0895757273324989,0.0850463301123822,0.0941138958120639
1991,0.93226413478636,0.918962722954566,0.851274580189655,0.849142464188375,0.84505836854317,0.837319571230809,0.0017198937037793,0,0.00343978740755859,0.988313919876474,0.976627839752948,1,0.0915091003203928,0.0865254082762767,0.0965429764013293
1992,0.938063886625591,0.985428526645978,0.858151174271808,0.934653283435759,0.85295044012914,0.938965223521125,0.0016027673766554,0,0.00320553475331081,0.988026257284882,0.976052514569763,1,0.0924956677525232,0.0870774390670303,0.0980144663312922
1993,0.943164309269482,0.999268958352286,0.863800233776412,0.941620039782547,0.858391354892978,0.932246460383954,0.0015841671327365,0,0.003168334265473,0.987773016304348,0.975546032608696,1,0.100712248955937,0.0943991192166291,0.107195768943241
1994,0.950499725581442,1.02462603778651,0.860878234267581,0.814671437003197,0.858400996369606,0.858548476954898,0.00151061006571517,0,0.00302122013143034,0.987446147623332,0.974892295246664,1,0.107572376696712,0.100295056876255,0.115121363284122
1995,0.94934345742727,0.933078618725258,0.866436528375924,0.968327999801999,0.86339576859051,0.953275380291942,0.00153811206595107,0,0.00307622413190213,0.987132517257143,0.974265034514286,1,0.0956664883214517,0.0886485094121894,0.103031538899127
1996,0.951921399020948,0.988795753462164,0.871980231011387,0.983348081461331,0.867908120313916,0.95631787802168,0.00155482144948748,0,0.00310964289897496,0.986591206296954,0.973182412593908,1,0.0771217838505788,0.0710963994823281,0.0835053427005173
1997,0.953557658964502,0.97553808420624,0.872718322284344,0.890287071257399,0.868390350106692,0.879330505907884,0.00163911363822504,0,0.00327822727645008,0.985918070666667,0.971836141333333,1,0.0396418381670034,0.036409183403157,0.0430886525422575
1998,0.956380317671787,0.99341702131586,0.872516514597005,0.866992775486305,0.868990175272429,0.884316288732981,0.00178769802872078,0,0.00357539605744156,0.985236479140028,0.970472958280055,1,0.0278995868173732,0.0255873128917836,0.0303689172361633
1999,0.959881286624596,1.02513934790495,0.877201722521926,1.01459866868717,0.873505466073893,1.00095558791439,0.00202175460814696,0,0.00404350921629391,0.984676925006046,0.969353850012092,1,0.024416142007302,0.0223711575681993,0.0266009267982365
2000,0.956901985965957,0.906459343780037,0.878524645223724,0.916605234403348,0.874122958558952,0.891076946814961,0.0022903671462715,0,0.004580734292543,0.983940941428407,0.967881882856815,1,0.024300250045489,0.0222474479220371,0.0264931549927913
2001,0.958963627889334,0.990494622011571,0.880854589137656,0.950555914213019,0.876658014196702,0.947697479415982,0.00245532178358907,0,0.00491064356717815,0.983166007779596,0.966332015559193,1,0.0217775340761754,0.019910984475747,0.0237731478009776
2002,0.957267394559598,0.927901355038538,0.884121033159736,0.974205226684144,0.880183296135451,0.973389305313713,0.00250287662491244,0,0.00500575324982488,0.982781343780687,0.965562687561375,1,0.0189875513671924,0.0173413168608498,0.0207479634823432
2003,0.95657639988543,0.943372392959492,0.885617139165141,0.927290043703531,0.882395119533929,0.941983800990092,0.00272908543863202,0,0.00545817087726403,0.982502637425667,0.965005274851333,1,0.0169999426497931,0.0155177659628498,0.0185835030350652
2004,0.958196742793952,0.981615761393682,0.889037771567527,0.987612603558306,0.886177235523515,0.987593975392404,0.00308540311003645,0,0.0061708062200729,0.982114135059331,0.964228270118662,1,0.0093734583127775,0.00581638395155895,0.0148931001013479
2005,0.958677314877126,0.968377024882422,0.891767178494026,0.964580213104021,0.888252414715263,0.942266304095586,0.00317061091813655,0,0.0063412218362731,0.981924726202713,0.963849452405426,1,0.0127764127764128,0.00853416278772762,0.0189454255912861
2006,0.959032109370366,0.963814923448064,0.896247961845639,1.02269815160321,0.892611287557354,1.00592061442798,0.00336443300795776,0,0.00672886601591551,0.981384072399621,0.962768144799241,1,0.0135069946936807,0.00916386423426174,0.0197357019985149
2007,0.961165255135369,0.995143219820764,0.898992314543861,0.97488941293569,0.895809140613904,0.979271589819682,0.00356726153223042,0,0.00713452306446085,0.980739447866736,0.961478895733472,1,0.0124282982791587,0.00830126545979297,0.0184310164963352
2008,0.960570618887982,0.950983626328073,0.898303424157034,0.877589311837526,0.895395730450951,0.88379671518224,0.00369768050988039,0,0.00739536101976078,0.980174041318373,0.960348082636746,1,0.0104662226450999,0.00673250160777617,0.0160815227294509
2009,0.96258358808481,0.996587906664787,0.901987185176747,1.00941501461277,0.899139442797963,1.00196651040714,0.00378265005300787,0,0.00756530010601573,0.979509027883212,0.959018055766423,1,0.00773078672123693,0.00465761595993559,0.0126246002058816
2010,0.962824417167763,0.966812307448224,0.907142670894999,1.06606661513168,0.903859629934772,1.03923195018455,0.00397790611410935,0,0.0079558122282187,0.978822125816192,0.957644251632384,1,0.0110450297366185,0.00737602973693025,0.0163859686257307
2011,0.963771055414573,0.982100824755192,0.909584389954227,0.979871884863128,0.90792113558852,1.01998128767023,0.00390679777041302,0,0.00781359554082604,0.978431611636516,0.956863223273031,1,0.00940695296523517,0.00611287132451454,0.0143207910161823
2012,0.962625616750037,0.941733658776631,0.910778960172856,0.943258033283369,0.910516691388933,0.97809149382566,0.00388934539915241,0,0.00777869079830482,0.977951881518115,0.955903763036229,1,0.00667451904201021,0.00402063763230521,0.0109039893741897
2013,0.964944030649621,1.00874250046344,0.910139733466935,0.891804206623154,0.911475928201818,0.937741184908474,0.00394525016706533,0,0.00789050033413066,0.977448013795883,0.954896027591767,1,0.008274231678487,0.00526241587867217,0.0128535651398493
2014,0.96700625072005,1.0034204254396,0.910221628223411,0.912506854799009,0.912192875907359,0.931172164196042,0.00356994690195057,0,0.00713989380390114,0.976931853126433,0.953863706252867,1,0.011336032388664,0.0076888751327418,0.0165731578139003
2015,0.96939285724168,1.01837444638266,0.912243668336905,0.974359321647912,0.914456867723917,0.980873317199593,0.00372883995763931,0,0.00745767991527862,0.976414318558909,0.952828637117819,1,0.00502092050209205,0.00272264661411168,0.00902066161605398
2016,0.96882138609746,0.956300350668129,0.914648823536514,0.989827978602012,0.917221925641927,1.00024136997168,0.00394699584406967,0,0.00789399168813935,0.975735251936759,0.951470503873518,1,0.00778369520688243,0.00482884754717307,0.0123739914297056
2017,0.968098091091181,0.952551311911255,0.921150505034854,1.13576047784458,0.922958496701289,1.10292279502282,0.00373439689732444,0,0.00746879379464888,0.975135052505019,0.950270105010038,1,0.0105391163356303,0.00703771817703402,0.015637622197965
2018,0.96801014336247,0.965723502415999,0.921308513040955,0.927209578912969,0.923205337903743,0.932042994347445,0.00339932888308106,0,0.00679865776616212,0.974447980531773,0.948895961063546,1,0.00835421888053467,0.00525042081289137,0.0131214332286392
2019,0.971018579393162,1.04051345170214,0.923991366116212,1.0189112141175,0.926172351121926,1.02585681699508,0.00327541015313669,0,0.00655082030627338,0.973634811911266,0.947269623822531,1,0.00794000882223202,0.00485745478772505,0.0127852573692586
2020,0.970132158582109,0.94724350692529,0.930038206200713,1.2289924295066,0.935532127274639,1.35910149091129,0.00165777771639305,0,0.00331555543278611,0.993027713922625,0.986055427845251,1,0.00678623364032962,0.00386600415659095,0.0116611752733797
2021,0.972719390895226,1.0667360747896,0.932697776530686,1.10423134291127,0.936841970397841,1.01509171305356,0.00206702347881798,0,0.00413404695763595,0.992876364044369,0.985752728088739,1,0.0112296462661426,0.00706033301945135,0.017620765857736
2022,0.973117707795804,0.984160864979502,0.931363553737805,0.858040027955155,0.937350469738191,0.962708888184291,0.00343522799710818,0,0.00687045599421635,0.983812039354633,0.967624078709267,1,0.00968858131487889,0.00552178484046515,0.0166276946608513
2023,0.971774954618462,0.941954644471648,0.935161916574999,1.07744313224448,0.939905638105551,1.02915401893693,0.00327541015313669,0,0.00655082030627338,0.983668761707469,0.967337523414938,1,0.0112191473448018,0.00652837004265902,0.0188904135219654
