year,pldhiv,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals
1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,1.979576163624081,0.0,0.8266162153584388,0.006654654144335683,0.10080000000000022,0.04117870169119028,0.01075340834697445
1982,3.01508000077709,0.0,0.0,0.010935135840300923,0.0611999999999997,0.06173800803787963,0.007258158440441392
1983,8.888465015339351,0.0,1.392031927935598,0.03515612460911203,0.2615999999999985,0.17922553502758812,0.15209925053580206
1984,280.6864863389578,4.486064339345048,10.696187397209254,0.9142833632450956,7.921102946890765,5.575364246835757,2.698416621062096
1985,1335.9121915138044,60.36577349203453,47.46250192583393,3.4696825200669443,28.848586794470904,26.14936927853301,11.31096773743479
1986,2338.59896217438,125.69405655795373,108.17371521579277,5.881455747421652,29.573735731668943,45.12503806386472,16.704943688253174
1987,3395.489836269038,509.06012483484744,153.73615455772165,8.885458512685963,34.17644688519665,64.60767338971834,20.132783297353303
1988,4186.221828882152,216.99505733891544,184.88634651902217,10.43788192343311,29.053556989274366,78.57053694082705,23.293668050072903
1989,4861.149333720435,147.41784083923372,314.3130232664351,14.215561729107687,27.12048963604363,90.02501243607529,27.352858060583056
1990,5265.169874403329,97.65823031002803,396.7013254651464,18.10807499523895,23.40774878619079,96.23864609195552,30.328241033770265
1991,5494.868557901643,137.17376219692568,435.5539268968684,17.940145455538236,21.151081134523075,99.15826653923622,32.23427774402069
1992,5650.374567239862,33.92484837963561,460.46440490409265,16.79998808508217,20.320250014834027,100.69332134032948,33.57654781588117
1993,5667.401110881445,37.27203982995951,512.7163105742769,16.28506517577436,17.101171016026882,99.76366881142188,34.21081844862501
1994,5513.469935676662,74.27577807590875,539.8531714261605,14.78490525989502,13.56916121821203,95.89320736734483,34.37371364011014
1995,5416.323415332763,23.419788712397587,471.0752692351682,14.482752100466021,16.01975609036901,93.09951991754937,33.66039911173793
1996,5311.062697801572,18.243819299376426,373.45955413350543,14.065380577157597,13.990958682179699,90.24152553328268,33.741191599227484
1997,5241.470589468368,50.57588100630642,192.6274599036914,14.345119093733185,12.168670542692361,88.05602536948093,33.68064598169618
1998,5333.40603447283,47.54792606763645,139.10635553637007,15.652901833828471,11.666753937919037,88.61088655365545,34.45068842567589
1999,5494.20332167502,2.6165033617132707,126.02422037673276,17.898237114823502,12.369342416330362,90.29344108058591,35.65246822581745
2000,5619.802737867085,44.46781104528006,128.62083185132482,20.364938887241344,11.117280515173166,91.37580516289728,36.931447901432314
2001,5739.570735657357,23.684593694523723,117.6009227151613,21.864337532629385,11.262856763112856,92.34961090212029,38.46383902256162
2002,5948.142404518901,5.814442247994263,105.62943220802978,22.70801696804063,14.1048620452977,94.72545773849929,40.23928669125922
2003,6155.658221319277,27.555700931015924,98.38661009093131,25.196631591054274,13.919997482543184,97.04455972454913,41.87960026872107
2004,6374.553160210273,7.436862488646959,67.36647989654207,28.844886374141755,14.282779173207036,99.503186983099,43.97440266458812
2005,6597.658109769289,21.872120678583062,61.08942694230833,29.94396637726087,13.557219569484252,101.9869196968737,46.6577889970294
2006,6844.250021559795,-5.511655379403257,43.87339757410126,32.18887923501892,14.365627959747707,104.79066602033556,49.461029770161794
2007,7105.588025214618,7.90445532613426,49.74740741107066,34.62700922506629,14.584096101791793,107.7733353759982,51.92089304197636
2008,7277.464620114268,41.312450028399525,48.78747231361516,35.90874602877246,11.883732181332668,109.36450974843746,54.0769328121115
2009,7517.043979307753,-4.446886653531576,64.38581566858868,37.08901218859565,14.54303473295221,111.94298315300144,57.00749730559058
2010,7718.576258241291,-16.485627371085197,62.561914960415734,39.16391045382298,14.090083898494635,113.92185170779277,60.40000475147117
2011,7949.089949721606,-7.851447749369838,38.40140072329282,38.74730458694316,15.347092726849661,116.29794775904067,63.436818024406655
2012,8255.334878074236,9.398143875650062,55.19326088492805,39.19546592910321,17.61663117807939,119.73941706695446,66.45419977728514
2013,8463.346378263828,27.697924528628104,24.531438777576287,39.88964500107753,14.798674742152464,121.71768435338407,69.59203956769842
2014,8723.216893012506,30.784081944830938,43.35594877242796,36.418669543347136,15.7241818650038,124.41050532715357,72.98158805724475
2015,8981.366813894967,8.922361666851959,55.04412756217537,38.69092213366252,16.537849765904213,127.04271604661147,75.73345743681399
2016,9226.587245103285,-4.802589279856255,29.795222535317382,41.5741845215687,16.8803348505972,129.45893009341344,79.37855205346094
